bout,datecode,sample,block,field,treatment,treat.na,treat.stover,pH,gdry_gwet,co2,toc.k2so4,tn.k2so4,toc.h2o,tn.h2o,fum.c,fum.n,p.k2so4,p.fum,p.h2o,p.bicarb,bg,lap,nag,phos,p.total,na,n.percent,c.percent
1,20160713,11,3,packards,na,1,0,5.94,0.923529412,40.31929981,75.73561041,274.7968939,93.38532147,239.7051026,179.7852848,329.1910822,0.00001,0.171397718,0.161097108,9.738174736,,15.73116783,13.42438795,19.02009854,785,630,0.2,2.54
1,20160713,12,3,packards,both,1,1,5.88,0.945219124,110.0774224,93.56531429,134.7028959,49.03573274,53.97857143,203.405573,140.0931102,0.00001,0.112401059,0.110499194,4.33671016,,20.15439153,13.51436129,33.50600395,789,995,0.2,2.77
1,20160713,13,4,toussaint,cont,0,0,7.94,0.931640625,28.53059616,19.19632477,55.52455264,32.39677205,118.9900126,172.7776663,121.3999261,0.049266527,0.884919259,0.505237302,10.44726117,,50.62374282,8.296404767,50.94755091,847,14,0.26,3.85
1,20160713,14,4,toussaint,corn,0,1,7.85,0.93,154.7516729,86.71907392,183.035263,73.1185819,140.465562,316.0030617,197.7512514,0.076760203,1.81049257,0.389861683,8.30386552,,63.73386028,12.16792224,119.5119093,864,10,0.16,2.09
1,20160713,15,4,toussaint,na,1,0,7.91,0.918406072,25.34815043,14.11019494,51.51305881,18.58333073,71.36240427,175.4665379,101.103717,0.127892797,0.921040287,0.408347153,8.120736056,,46.24668019,8.530147365,42.53865311,878,890,0.19,2.28
1,20160713,16,4,toussaint,both,1,1,7.7,0.92555332,137.6727693,94.59897956,151.856104,80.63473974,103.767825,NR,NR,0.212994262,2.596557213,0.358623222,9.685689686,,50.79352377,12.79592611,70.8203158,858,1107,0.21,2.66
1,20160713,17,5,toussaint,cont,0,0,7.17,0.948231234,42.66403455,46.01304376,172.4781465,54.50929595,224.5230254,184.8186831,435.6876365,0.00001,0.456690317,0.131755228,3.628964066,51.59763875,40.84724159,10.61065361,27.41370416,735,15,0.22,2.36
1,20160713,18,5,toussaint,corn,0,1,7.13,0.950199203,281.0090751,134.6203246,478.810571,77.92927737,266.1708517,343.8261267,175.243885,0.105757022,1.627255505,0.362488106,6.127962829,,50.66125955,16.08249097,73.58704581,751,10,0.23,2.53
1,20160713,19,5,toussaint,na,1,0,7.31,0.933728981,27.53333571,69.09153502,330.2581547,34.39903421,163.0393426,180.1641747,380.6075346,0.044112253,0.52293944,0.132806169,5.244557761,45.79143011,32.4974198,7.702007738,30.48562176,768,998,0.21,2.16
1,20160713,20,5,toussaint,both,1,1,6.93,0.930624381,40.82314749,56.37738351,244.1275096,66.3349349,297.1878261,290.256651,531.9898535,0.107530054,0.650382507,0.123636012,4.609793911,,31.29738904,7.336312143,41.68291149,778,1176,0.2,2.45
1,20160713,21,6,toussaint,cont,0,0,7.19,0.933133733,48.34292769,40.74939634,245.5775687,47.05228489,236.0619666,327.5473174,218.4996417,0.00001,0.627293164,0.098392209,1.344521548,,30.30971845,8.361271683,32.23350468,769,27,0.23,2.33
1,20160713,22,6,toussaint,corn,0,1,6.86,0.918944392,339.9421501,44.56069675,38.29888403,66.31147316,73.86579142,213.1855863,448.2103062,0.00001,0.521807848,0.346208858,4.284828827,,64.73427186,22.7623031,124.7072833,782,16,0.21,2.58
1,20160713,23,6,toussaint,na,1,0,6.96,0.94333996,27.44761,21.3019652,52.33165642,26.16879326,56.02461188,182.172068,148.6331418,0.00001,0.342405654,0.522266413,1.981404331,,24.35218913,11.01886407,34.19422131,752,978,0.17,2.26
1,20160713,24,6,toussaint,both,1,1,6.65,0.93503937,294.8285997,54.36655421,42.72730722,78.90207017,79.00322472,328.3482118,173.149892,0.00001,0.464342862,0.204644591,4.094721477,,52.43985912,18.63669578,71.52401253,755,747,0.28,3.43
1,20160715,25,7,stony.ridge,cont,0,0,6.64,0.908091908,22.09892754,74.6969571,237.8167056,51.2838915,106.7423151,274.5091661,280.3371611,0.110688007,0.220327909,0.129157426,6.168621479,128.9096963,121.5893173,46.75609731,97.9531981,805,20,0.25,2.76
1,20160715,26,7,stony.ridge,na,1,0,7.31,0.936936937,43.84476628,199.6403114,904.8706747,106.7448638,463.7871999,321.0792673,945.9082054,0.108680221,0.119114946,0.065374884,7.209118897,30.94108803,43.30500555,5.827488353,25.49505658,864,1200,0.32,2.4
1,20160715,27,7,stony.ridge,corn,0,1,6.59,0.911088911,305.2618439,173.4505025,275.3450983,154.2801049,145.4218575,449.9915755,314.4802788,0.24844761,0.78331502,0.497937185,0.823414927,20.7419202,50.91045558,6.30144941,28.11912606,832,32,0.3,2.84
1,20160715,28,7,stony.ridge,both,1,1,6.5,0.911417323,119.1860059,183.1051529,88.0364166,122.6961279,45.52612151,476.7309044,106.0927152,0.198698288,0.681525087,0.188272478,0.775475934,41.10888115,43.59646189,7.011072435,39.28186803,799,1722,0.2,2.77
1,20160715,29,8,stony.ridge,cont,0,0,6.8,0.92936803,19.24719516,86.6349672,467.8591343,48.97492212,196.9759603,253.2500822,475.297391,0.005408595,0.062877077,0.136521921,0.931574803,36.94443241,45.15901446,6.658642732,32.63360641,758,37,0.18,1.66
1,20160715,30,8,stony.ridge,na,1,0,6.33,0.917082917,23.84006639,86.99036419,98.65700481,64.14514182,58.73997225,263.6762702,117.6211864,0.19937626,0.431217456,0.378383816,0.865807259,97.80146832,109.0421596,19.8517227,102.1379517,802,791,0.19,2.36
1,20160715,31,8,stony.ridge,corn,0,1,7.28,1.098196393,,,,,,,,,,,,,,,,817,6,0.26,2.58
1,20160715,32,8,stony.ridge,both,1,1,6.68,0.91,114.6803965,159.9241228,140.4614238,103.2671621,53.80034219,496.7994641,255.0059138,0.224906851,0.975234536,0.693272002,5.324842153,45.33357674,64.22910108,7.973518536,44.49611781,805,1036,0.18,2.43
1,20160715,33,9,stony.ridge,cont,0,0,6.55,0.941767068,22.17629827,68.3061969,52.06785512,34.86821126,31.69693362,278.4766664,68.12387187,0.470577717,0.701226906,1.385245617,9.13569887,51.42102382,59.8279081,10.0724567,47.85495642,812,20,0.18,2.2
1,20160715,34,9,stony.ridge,na,1,0,6.4,0.913690476,19.8392878,54.34487601,65.5221603,30.05365813,37.41373452,233.2868502,80.25161056,0.38975565,0.549435929,0.486580288,7.70391129,107.267626,88.60974542,16.94955251,132.2672841,802,594,0.2,2.38
1,20160715,35,9,stony.ridge,corn,0,1,6.74,0.905733722,167.8878056,133.0491429,364.4153659,55.2370692,162.5561054,337.185265,278.4969013,0.32790718,0.767582542,0.318276912,5.070206412,78.50259684,80.54115417,16.91685688,60.20708566,797,18,0.27,2.86
1,20160715,36,9,stony.ridge,both,1,1,6.62,0.905624404,79.14848658,123.7353199,79.742372,92.80365951,39.81162967,393.0449313,115.1013038,0.230541989,0.793379047,1.824128264,7.060620487,37.26920145,72.30083909,8.786796776,40.38793971,790,750,0.2,2.38
1,20160715,37,10,luckey,cont,0,0,7.34,0.934846989,22.67171858,132.5421897,836.5601946,33.01502013,190.9386589,222.7489294,572.2369044,1.066775033,1.722187945,0.216375593,10.53229633,132.3988766,143.0654476,27.81479433,153.2056953,945,14,0.29,2.61
1,20160715,38,10,luckey,na,1,0,7.37,0.925224327,17.90200879,131.254671,210.1596728,34.40344618,75.60513828,332.3516199,199.5789104,0.495570483,1.006533895,0.413988224,7.655164283,40.05665328,57.78624949,5.797993313,33.58954894,941,1056,0.19,2.33
1,20160715,39,10,luckey,corn,0,1,7.55,0.920523139,100.8441742,230.0372876,643.9405837,116.3014457,337.0669216,352.7197269,428.7770806,4.589247478,4.378102567,0.657871394,20.73937817,76.64922562,84.65604168,13.27294781,65.50614959,1037,16,0.31,2.98
1,20160715,40,10,luckey,both,1,1,7.58,0.912611718,67.85871491,239.143403,847.6865489,87.63175947,324.4254124,518.0445883,852.4395913,3.96949658,3.82172592,0.793463313,19.82786162,95.21598753,90.02760435,12.63174494,77.13588673,895,1176,0.29,2.61
1,20160715,41,11,luckey,cont,0,0,6.92,0.931343284,21.69498213,93.20312877,511.7983376,35.63647477,250.4680954,231.1999693,500.8877791,0.640156948,0.557694271,0.230866587,10.56093481,32.35204494,68.12611128,8.27841598,40.51296244,868,24,0.25,2.32
1,20160715,42,11,luckey,na,1,0,6.79,0.922310757,11.81767874,100.9321855,396.7476762,28.27626248,191.507047,258.1413921,322.3617053,0.598367311,0.534838314,0.368708449,10.61961842,30.88654682,62.20486356,10.36526075,47.00425709,914,768,0.23,2.2
1,20160715,43,11,luckey,corn,0,1,7.18,0.927218345,259.918259,248.5865641,1251.405688,69.61019784,324.4586561,575.2025867,1392.952555,0.757528664,1.191584948,0.177539889,9.196785924,143.2911824,98.92224706,31.44594386,123.5832193,845,9,0.35,3.06
1,20160715,44,11,luckey,both,1,1,6.57,0.915169661,52.5120365,131.4225258,325.9732539,75.296303,179.6502962,416.2931626,335.5296317,0.581131813,1.716445797,0.409364881,8.647444701,48.86038784,58.49286222,13.64672409,46.73352973,887,819,0.22,2.35
1,20160715,45,12,luckey,cont,0,0,6.25,0.928923988,17.48056671,75.35906717,167.2453819,50.63220175,134.0533611,214.4658347,184.3073851,0.111412875,0.452180412,0.330356642,5.636969226,38.59870547,51.76100052,10.59311499,51.87194558,839,10,0.18,2.46
1,20160715,46,12,luckey,na,1,0,6.76,0.915254237,30.34191606,100.7605171,504.7911851,28.58609033,208.7169338,198.2908794,455.0258611,0.201801035,0.975138357,0.54591363,9.698462339,43.92207672,54.15543883,11.25898672,48.25680061,840,404,0.28,2.49
1,20160715,47,12,luckey,corn,0,1,6.62,0.918974359,116.4533588,159.3653437,653.5332607,148.8776013,500.9703327,372.6864224,640.6875157,0.464092728,1.21488627,0.194528235,10.22079411,138.6084414,100.5944517,21.71899398,110.7245212,862,25,0.24,2.39
1,20160715,48,12,luckey,both,1,1,6.57,0.90803485,144.2272967,201.3094495,633.3245118,113.945875,311.9658731,429.8802772,614.5205291,0.954332665,2.204056594,0.900596716,16.48141722,298.191078,100.1298317,18.07224967,129.0539096,912,1266,0.26,2.48
2,20160909,1,1,packards,cont,0,0,6.28,0.885656971,22.952151,124.4874476,68.04659202,69.11222467,73.80690987,188.9038756,83.30343187,0.311448648,1.230903988,0.829658577,4.568239889,11.56863386,47.39386141,11.80383802,23.70263405,,,,
2,20160909,2,1,packards,corn,0,1,6.17,0.898203593,49.75200067,113.2309555,78.42576638,77.6455409,86.47938917,232.0328328,106.5423922,0.239518961,1.228408718,0.367660678,4.338455933,61.22048803,137.9540513,39.95637607,171.2131138,,,,
2,20160909,3,1,packards,na,1,0,5.63,0.896142433,18.27548756,88.25421885,190.0689453,21.01089126,90.09127772,157.748477,172.5634243,0.276334079,0.979773179,0.498768786,3.468631953,29.09075326,54.17704726,43.84093577,40.81358125,,,,
2,20160909,4,1,packards,both,1,1,6.07,0.90248566,36.46416261,99.39917915,84.15589799,29.09560572,43.64175814,204.3340798,110.5767309,0.268662735,1.296055453,0.567769423,4.782196075,59.04610316,91.65943582,32.20610106,53.63249292,,,,
2,20160909,5,2,packards,cont,0,0,5.54,0.909000989,15.59011034,88.9584941,145.8374775,27.75042388,140.6535713,124.7392659,145.6519449,0.149550641,0.714353971,0.228888093,4.428697742,7.977425451,21.44258348,21.86957106,10.62115665,,,,
2,20160909,6,2,packards,corn,0,1,5.69,0.898809524,68.40122586,117.6009558,222.1557247,77.2410849,241.4292489,254.4599566,308.616345,0.612107982,1.432045334,0.982532483,3.485556881,119.3138945,148.1504485,77.72378727,106.0618754,,,,
2,20160909,7,2,packards,na,1,0,5.74,0.895522388,30.58821635,90.12929891,140.8297435,38.5337831,136.7951427,156.1081081,200.1194927,0.388944312,1.024916335,1.213935143,4.654950081,20.39155698,68.19416706,39.20674484,27.60460757,,,,
2,20160909,8,2,packards,both,1,1,5.72,0.902805611,22.197126,107.6363697,57.7731585,64.07212539,52.36098826,97.78929596,72.48814427,0.243453268,1.482745727,0.266568335,4.851423015,50.64085375,77.97737109,58.88552896,45.48912302,,,,
2,20160909,9,3,packards,cont,0,0,5.1,0.912825651,26.59175851,85.47520899,107.283992,31.57033408,108.8453975,126.7828603,110.6794888,0.336187631,1.211470449,0.434296,6.598009399,6.27354836,25.15239274,34.81729782,13.55043289,,,,
2,20160909,10,3,packards,corn,0,1,5.86,0.921078921,67.26009923,146.9342588,418.3708556,113.1513233,255.4859633,345.4712939,580.7734468,0.149550604,0.754002691,0.460499525,4.112101315,50.30294551,238.5373291,61.17994679,59.30522201,,,,
2,20160909,11,3,packards,na,1,0,5.51,0.88358209,0.148110297,79.68611029,148.7846002,44.48363343,182.2950311,119.6527581,180.3482,0.195956066,1.316996419,0.258696434,5.641194931,16.54168895,46.7193522,48.68800013,27.11553527,,,,
2,20160909,12,3,packards,both,1,1,5.83,0.899201597,17.05273712,76.48731621,42.61647152,62.20128708,66.58945935,186.1953578,78.097824,0.11587368,0.457188761,0.416138216,4.960058402,18.5594383,67.9016547,27.82825044,39.22019564,,,,
2,20160909,13,4,toussaint,cont,0,0,7.63,0.90530303,13.30524882,58.37803523,124.6930039,15.37636509,164.7916423,196.4410939,168.3420731,0.91000306,1.258512839,0.555690091,NS,35.35051297,86.84704283,1.958384986,29.87218381,,,,
2,20160909,14,4,toussaint,corn,0,1,7.68,0.864114833,10.62614669,79.09619188,59.79178434,26.54785291,69.79491651,260.5889848,101.676745,1.462448042,1.496962381,1.016102043,4.580900786,43.20331513,125.6331343,8.975075803,52.61896576,,,,
2,20160909,15,4,toussaint,na,1,0,7.99,0.856716418,15.77383126,62.13183267,30.04247244,29.50248738,36.2492418,172.7548207,62.84316948,0.697448177,0.990203051,1.948830862,2.815600191,25.86741506,137.402534,5.074341626,46.78596184,,,,
2,20160909,16,4,toussaint,both,1,1,7.37,0.879,25.13064833,82.19512855,140.4820766,NS,NS,372.14453,218.9741785,1.260790684,1.356464623,0.67703934,3.230767486,150.6261661,176.9719331,17.85954026,131.2615133,,,,
2,20160909,17,5,toussaint,cont,0,0,6.57,0.911266201,5.596976849,62.15380032,169.9559706,23.40314,170.323858,138.1347989,154.8944988,0.188818552,0.735547702,0.330244385,NS,19.11766882,47.2688339,2.129180716,33.06133656,,,,
2,20160909,18,5,toussaint,corn,0,1,6.41,0.888118812,78.92954365,122.5544565,184.0175303,56.85367867,191.0535065,313.511479,207.3311349,0.557219862,2.900614394,0.876995134,2.055503603,101.130889,122.0683786,30.87429063,120.694022,,,,
2,20160909,19,5,toussaint,na,1,0,7.02,0.920972644,6.377496984,106.4881555,288.0821161,46.82855091,291.3530007,183.5063838,289.7379648,1.116961759,1.813171483,1.002632945,3.448413642,16.61369455,40.78376557,2.552917495,13.83117298,,,,
2,20160909,20,5,toussaint,both,1,1,6.47,0.889442231,45.13777213,151.8074147,253.6950871,98.55467529,229.5634608,364.8971352,303.3701088,0.911391498,2.638225253,2.096660956,2.080274151,78.84767206,139.9706225,25.53643689,85.14549031,,,,
2,20160909,21,6,toussaint,cont,0,0,6.9,0.894945491,12.91198425,63.95052238,45.17625815,31.86333514,47.99184526,166.2195736,75.78771464,0.058169001,0.801304626,0.362388491,NS,29.29933743,81.62975214,5.545689386,31.86265003,,,,
2,20160909,22,6,toussaint,corn,0,1,6.87,0.891675025,46.03096132,68.91750815,120.4613964,33.47241324,123.2570828,265.6125442,143.2550809,0.462458362,1.44163503,0.596228115,2.375779336,55.82035475,112.6014975,12.99387927,83.12644869,,,,
2,20160909,23,6,toussaint,na,1,0,6.78,0.894059406,20.74651998,94.6248064,136.3679803,22.54786408,89.21041741,201.3540547,113.6427998,1.07124072,2.66737515,1.591352226,NS,38.75880083,79.64589936,15.63335351,39.13873612,,,,
2,20160909,24,6,toussaint,both,1,1,6.25,0.8808933,41.65120093,130.1646647,289.3297637,36.92452888,148.9806036,,,0.643616774,1.806032202,0.789390889,3.006549609,35.42131834,69.06691876,12.39089459,38.03888001,,,,
2,20160911,25,7,stony.ridge,cont,0,0,5.92,0.861,11.39882065,72.93652811,489.8715569,NR,NR,300.2526993,801.4817853,0.297097543,1.15001418,0.201921355,2.127029058,39.30132523,51.19603224,5.473007768,36.19560951,,,,
2,20160911,26,7,stony.ridge,na,1,0,5.68,0.83172147,14.100723,101.3226162,155.4003253,NR,NR,203.7576547,206.8938591,0.401001498,1.022246359,0.420440728,3.330876899,31.66191021,59.60294539,11.12914088,40.99480613,,,,
2,20160911,27,7,stony.ridge,corn,0,1,6.32,0.842209073,43.49410681,81.35024244,41.48080078,NR,NR,267.5889213,89.85521363,0.121859935,1.094749198,0.196507598,1.720961635,77.35914468,140.243125,68.26983369,47.53374077,,,,
2,20160911,28,7,stony.ridge,both,1,1,5.79,0.862,22.73534604,96.71507725,300.9994517,NR,NR,266.3707344,357.2039512,0.787897534,1.469743929,0.619899861,3.024410296,85.28979083,120.5309571,18.15997966,82.59042921,,,,
2,20160911,29,8,stony.ridge,cont,0,0,6.38,0.826941986,8.898471148,50.00964127,75.88117453,NR,NR,120.9811988,83.09362747,0.131602861,0.774250708,0.369021453,1.797032989,52.99153178,94.85088344,8.366369411,64.1516715,,,,
2,20160911,30,8,stony.ridge,na,1,0,5.88,0.834,9.698253428,101.1453762,181.5811352,NR,NR,125.5479714,134.0913854,0.226831281,0.909142062,0.264452906,2.323607141,35.48807756,50.54099761,5.636143368,34.89291064,,,,
2,20160911,31,8,stony.ridge,corn,0,1,5.67,0.853146853,38.35121871,127.7850793,200.511064,NR,NR,317.6487916,275.858967,0.380797792,1.880329019,0.232590823,2.02053803,84.79972076,113.8319601,29.40823954,87.60169244,,,,
2,20160911,32,8,stony.ridge,both,1,1,5.94,0.841766329,33.30307946,78.47741062,153.6385539,NR,NR,170.2528871,211.2460276,0.17652843,3.093872449,0.229916045,1.799322593,58.92838439,83.21698684,13.17401558,119.2734968,,,,
2,20160911,33,9,stony.ridge,cont,0,0,5.55,0.814667988,23.38767321,69.61973389,225.0474828,NR,NR,149.1014563,252.6700812,1.830933873,0.619014892,2.688780677,2.994858237,26.28797673,33.59802592,6.529949884,26.38444972,,,,
2,20160911,34,9,stony.ridge,na,1,0,6.18,0.82,11.43354369,53.86974421,90.45556033,NR,NR,180.2594791,132.3760379,0.501526563,1.644042901,1.174986183,2.150673133,37.8563088,60.76128313,6.686452773,48.28184572,,,,
2,20160911,35,9,stony.ridge,corn,0,1,6.08,0.834331337,48.2458987,76.62213376,154.4918348,NR,NR,233.7945811,157.954502,0.42572662,2.220752494,0.270737266,2.214585725,81.8494753,82.42023685,11.29224178,73.59149861,,,,
2,20160911,36,9,stony.ridge,both,1,1,6.53,0.837162837,60.24929564,103.4098073,58.6009388,NR,NR,194.1986289,80.95117718,0.608778547,1.591366212,0.571183866,3.389042474,123.697759,118.1063322,29.17837076,89.98755784,,,,
2,20160911,37,10,luckey,cont,0,0,7.42,0.805805806,5.480081375,62.11274966,95.45822235,NR,NR,204.8168442,116.5599891,0.778077572,3.23786004,0.89381883,4.028589295,77.00316223,167.2669995,14.0988847,88.83782154,,,,
2,20160911,38,10,luckey,na,1,0,7.55,0.809,14.79384313,65.86605589,84.81535056,NR,NR,330.1987982,147.8549303,1.724633879,4.700246838,1.289761857,6.274046832,56.22743931,103.9431349,7.771573734,112.9774672,,,,
2,20160911,39,10,luckey,corn,0,1,7.3,0.794205794,34.87240747,131.6033536,446.1495867,NR,NR,359.8433836,489.0723898,3.268317063,4.418474595,1.539651017,10.00907514,83.44043727,180.2550507,10.20375025,125.1566341,,,,
2,20160911,40,10,luckey,both,1,1,7.62,0.799601196,33.32196859,147.8912173,222.4289594,NR,NR,371.800082,267.0220549,2.905598805,3.081424067,1.177741364,7.818678713,88.17642455,200.1181359,17.88739882,122.6877255,,,,
2,20160911,41,11,luckey,cont,0,0,6.51,0.829637097,24.99034221,73.99313544,181.3119759,NR,NR,182.9099436,198.7460762,0.926623293,2.443927094,0.757761583,4.326558338,34.01815517,61.59583457,5.999533352,48.20320228,,,,
2,20160911,42,11,luckey,na,1,0,6.27,0.864271457,27.30205399,143.5862587,242.1252718,NR,NR,175.316383,278.8874456,1.010816826,2.901662345,1.567950257,4.755271571,38.35092882,59.92676462,7.948088886,45.1602288,,,,
2,20160911,43,11,luckey,corn,0,1,6.66,0.80738523,26.56900999,59.29417146,105.3748152,NR,NR,236.6887519,161.0150091,0.648774684,4.179072545,1.322183955,2.971742689,79.09994502,112.1633751,21.91000663,86.36340759,,,,
2,20160911,44,11,luckey,both,1,1,6.57,0.826086957,68.83383059,76.26911918,83.36641771,NR,NR,257.4426456,119.8907501,0.658936976,2.56466286,0.792014685,4.596600291,138.516647,158.1369947,38.60281582,133.3036715,,,,
2,20160911,45,12,luckey,cont,0,0,5.67,0.781399808,16.78421796,63.32308224,240.224346,NR,NR,136.0066137,264.4889654,0.819159206,3.978037759,1.174389645,5.815715044,51.97565316,82.19035457,13.48709882,68.8555242,,,,
2,20160911,46,12,luckey,na,1,0,6.02,0.829406221,11.59726198,89.21051064,215.7226282,NR,NR,149.9799327,217.4092258,1.154619491,3.965524206,1.32192212,3.802925223,34.48176404,60.61582026,18.29075601,50.16535707,,,,
2,20160911,47,12,luckey,corn,0,1,5.78,0.837,23.00583295,88.18696982,141.9306371,NR,NR,197.9074318,138.0832744,1.343933651,0.00001,2.651047415,4.978405468,49.52291116,72.17217817,21.17081794,62.72639244,,,,
2,20160911,48,12,luckey,both,1,1,6.08,0.848906561,40.76517082,94.81610209,225.1141434,NR,NR,297.0952112,260.6641874,0.705901562,0.5345436,1.514199315,3.233927745,126.2157157,127.6270501,25.81683122,106.6429341,,,,
3,20160930,1,1,packards,cont,0,0,7.47,0.784569138,0.00001,57.29008136,53.97765302,26.45675491,62.89102348,194.7438701,58.2809881,0.448553584,1.529811273,0.655487947,2.258852783,28.07693511,181.0528225,30.03360964,47.65612436,785,29,0.23,2.64
3,20160930,2,1,packards,corn,0,1,6.45,0.797202797,33.35823,230.4276765,26.65470029,51.09172932,14.28205181,172.1644568,51.29231285,0.351570734,1.345386904,0.300955012,1.922851674,36.06832983,425.7626749,51.45669585,139.1419362,786,16,0.16,2.23
3,20160930,3,1,packards,na,1,0,6.26,0.783596838,33.92955534,373.5929319,37.54272424,71.93562848,17.81202231,148.998906,44.62345711,1.121743842,1.971696451,0.947338662,3.841395501,29.75060717,245.4518075,38.09413402,60.59588382,813,165,0.23,3
3,20160930,4,1,packards,both,1,1,6.21,0.77689243,8.967791477,82.71926647,11.57329992,70.08849817,13.30762169,169.2411434,34.22810138,0.556413732,1.135386471,1.587809357,NS,29.1678184,252.9763063,42.62298179,60.14883305,848,170,0.24,3.17
3,20160930,5,2,packards,cont,0,0,5.63,0.813907933,0.0185861,57.58879777,49.56744882,25.72371362,57.83130323,124.6565385,51.13886142,0.192409603,0.746900824,0.094465473,0.727765033,14.08201945,128.4847167,13.95232997,30.1246572,740,12,0.18,2.07
3,20160930,6,2,packards,corn,0,1,5.50,0.813559322,68.61083684,112.2434224,99.15114116,NS,NS,228.0579003,114.0527147,1.095614822,2.87969897,NS,4.045202013,,,,,789,18,0.22,2.62
3,20160930,7,2,packards,na,1,0,6.36,0.801801802,6.470853036,53.15232878,45.55106489,26.29655036,34.03588373,117.2561066,55.03288709,0.49546896,1.044629292,0.848835031,2.60326263,17.84196545,149.8638008,33.56011881,33.69522575,859,195,0.21,2.55
3,20160930,8,2,packards,both,1,1,5.56,0.820359281,0.00001,98.20333489,48.6769784,42.14942466,56.13978744,149.090932,90.23755366,1.070985822,1.83511954,0.551714559,2.864516157,61.61946679,174.4322,57.96458993,56.55610898,773,422,0.2,2.22
3,20160930,9,3,packards,cont,0,0,5.49,0.798245614,32.521401,61.98123695,19.46481418,NS,NS,121.933665,36.29025782,0.179771899,0.208397136,NS,2.299061133,13.4342745,151.8130039,19.03911707,33.92552955,803,12,0.21,2.68
3,20160930,10,3,packards,corn,0,1,5.51,0.785992218,52.08207829,,,26.9132006,32.56649378,146.5108708,60.29935847,NS,1.761615686,0.413648007,1.905544832,40.0321626,311.8201721,52.14484632,93.30330247,766,7,0.22,2.66
3,20160930,11,3,packards,na,1,0,6.12,0.785016287,34.74255556,45.79323304,18.66106892,41.11674021,11.18046601,,,0.225368112,NS,3.656078811,2.602014403,43.23286653,266.5991058,32.9203571,96.56240459,804,233,0.25,2.84
3,20160930,12,3,packards,both,1,1,5.82,0.80239521,41.72692555,57.72001345,27.69625086,36.28682223,39.43884445,145.8509762,42.0987015,3.159842516,0.761689408,0.215345696,2.177626537,56.10048325,371.7410888,36.92780612,59.58069602,782,305,0.23,2.8
3,20160930,13,4,toussaint,cont,0,0,7.62,0.780780781,16.10562802,20.7838669,2.74729685,27.19213077,5.006968887,205.636549,40.26234023,0.9070988,2.341659035,1.480284633,3.021681205,81.91197806,384.9118654,8.44615816,46.89865218,860,1,0.19,2.5
